,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,SPS.1,Hit
Ulixertinib,12.67009235,12.67009235,0.227772294,-0.570085471,0.4361553,12.06896552,433.339,411.163,432.1119813,152,0,1.24137931,2.034482759,2.724137931,3.16865003,1.794734508,1003.851103,20.96589085,16.0392139,17.55107179,13.8674124,9.151189452,9.907118398,6.91408468,7.757720587,4.269480597,4.805767771,2.909264856,3.320450732,-2.54,3526574.4,21.17565472,9.305067927,5.291451881,178.8260653,20.72408312,11.51179077,0,0,5.907179729,0,4.794537184,4.983978521,0,0,35.33461392,43.67639416,34.58506427,17.67135611,9.901064579,34.92692229,0,15.28474565,0,25.93115606,11.92367057,70.09453567,11.12690298,10.63357721,5.817862778,0,23.20187978,33.63038696,0,0,35.9412319,48.79188955,10.04526663,11.12690298,90.04,6.041840829,9.901064579,0,18.55590252,21.5570574,16.69035448,0,42.72552249,19.91384147,20.60153425,23.20187978,0,12.31382264,19.90118493,16.74723,2.597001253,0.35544938,10.22782372,3.28958524,3.790125061,0,0.238095238,29,4,6,0,0,0,1,2,3,4,4,8,7,0,0,0,3,4.6672,116.5374,0,1,1,0,0,2,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.06896552,FALSE
Berbamine,10.74576014,10.74576014,0.040166656,-0.040166656,0.270609999,19.4,608.735,568.415,608.288637,234,0,0.688888889,1.355555556,2.088888889,3.047466626,1.467322591,1736.614802,31.24154725,26.55372616,26.55372616,21.85923824,15.52001349,15.52001349,12.26709035,12.26709035,9.644976442,9.644976442,7.114813909,7.114813909,-4.4,18492662093,29.31869071,11.83751093,5.318340686,264.211067,28.79084216,5.749511833,34.497071,5.749511833,0,0,9.799819462,0,0,0,18.19910121,110.0604574,30.73664596,21.32939262,28.79084216,0,0,9.799819462,0,37.76696815,48.5142494,94.04437963,45.99609467,23.68431477,0,45.99609467,0,63.42059626,25.68328649,0,45.46439061,60.66367068,0,0,72.86,0,5.106527395,0,17.83319349,46.66740446,49.04233216,16.69035448,27.39575969,24.26546827,54.22699877,23.68431477,31.04098473,0,4.754452029,10.74576014,6.931526356,4.373107242,20.2523952,3.254619464,1.819074155,9.328080685,0.351351351,45,1,8,0,4,4,4,0,4,8,1,8,3,0,0,0,8,6.8594,172.7948,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,FALSE
Refametinib,14.70233284,14.70233284,0.204393563,-4.225921632,0.343230857,15.96774194,572.343,552.183,572.0089754,170,0,1.193548387,1.870967742,2.419354839,3.496040254,2.057999162,1096.436212,22.97432702,16.25445672,19.22845159,14.53082462,9.126850555,11.68876295,7.202833972,10.52548932,5.026651736,7.885530164,3.166757678,5.359166183,-1.77,8053841.917,23.88397474,8.998531411,4.858040104,190.3582183,20.26670635,22.94150522,11.63444168,10.02329115,0,0,4.722094864,21.58904213,0,0,0,60.0524367,9.63654934,30.25505462,36.53895987,49.6763206,0,0,0,30.11345371,23.75556297,45.28731307,5.749511833,14.77574642,30.23340397,5.749511833,22.59087063,43.19852012,10.02329115,21.02184479,19.26246487,24.26546827,0,0,107.89,56.30759703,26.69556952,0,30.69936298,9.63654934,13.17616461,12.13273414,0,22.59087063,10.03888347,9.843390349,75.65763943,1.877387339,0,21.18566379,-1.298696257,-3.843320746,4.660076382,-1.080112202,-0.620380292,-3.084924109,0.368421053,31,4,7,1,0,1,2,0,2,6,4,12,9,1,0,1,3,3.4783,117.5268,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.96774194,FALSE
Sapropterin dihydrochloride,11.56494331,11.56494331,0.025532145,-0.97907124,0.362864348,21.94117647,241.251,226.131,241.1174893,94,0,1.529411765,2.235294118,2.882352941,2.269984031,2.274469916,472.1893969,12.57698579,9.266396935,9.266396935,7.986071003,5.250904406,5.250904406,4.040123763,4.040123763,2.673924481,2.673924481,1.748014981,1.748014981,-1.8,6417.244855,11.67858558,4.224793388,2.171194938,96.87918317,31.564278,17.60921544,0,5.948339281,5.559266895,0,4.794537184,0,4.983978521,0,0,6.9237372,6.544756406,12.14580722,10.21305479,17.45358833,0,9.967957042,0,25.1735108,22.91200109,10.35380408,0,21.92651158,17.45358833,0,0,44.97554184,0,0,6.9237372,4.794537184,0,0,136.29,23.8090405,15.00759197,0,11.63572556,12.36261918,0,6.9237372,0,0,20.60153425,5.733667477,0,0,17.8167106,24.76784893,5.111164126,0.466775531,-0.463866213,-1.871041142,1.839074835,0,0.555555556,17,7,8,0,1,1,0,1,1,7,6,8,2,0,0,0,2,-1.7002,62.8581,0,2,2,1,0,2,1,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.94117647,FALSE
Alosetron hydrochloride,12.95619992,12.95619992,0,0,0.785221077,14,330.819,311.667,330.1247389,120,0,1.304347826,2.086956522,2.826086957,3.054160919,1.56E-06,879.9810667,15.26722023,13.16620906,13.98270564,10.6647038,7.509551538,7.509551538,5.848798273,5.848798273,4.62274178,4.62274178,3.356147006,3.356147006,-2.27,209851.3968,15.6190495,5.738429803,2.317712695,140.2763727,14.4509879,0,0,0,5.907179729,0,4.794537184,4.983978521,0,12.40703316,18.19910121,12.99010427,42.30403093,24.12945597,4.794537184,29.21713782,0,19.43496642,7.047671983,19.88931523,6.544756406,53.23802382,0,0,0,0,12.40703316,31.88690256,20.01325001,6.9237372,27.43977266,30.59278835,0,10.90292493,53.92,0,4.794537184,0,18.31421289,6.544756406,46.51373844,0,6.327320075,37.07042012,20.60142376,0,2.152481733,0,22.24285016,1.049490505,5.08883506,0.111527778,8.119351092,2.567616738,3.290896453,2.043617147,0.294117647,23,1,5,0,1,1,1,2,3,3,1,6,2,0,0,0,4,2.83012,91.9362,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,FALSE
Paromomycin Sulfate,11.09979412,11.09979412,0.064217774,-4.666666667,0.098584664,49.29787234,713.713,666.337,713.2636807,278,0,0.574468085,1,1.489361702,3.297028617,1.11E-06,1074.993989,35.54072293,24.83120415,25.64770074,21.83504397,14.49138078,15.88834419,11.64122123,12.5368881,8.318897878,8.318897878,5.698744762,5.698744762,-0.89,6780330697,40.53872287,16.87935906,9.670216994,268.1169526,97.94173427,67.14363027,18.87008019,0,0,10.39900058,9.105499747,0,8.417796984,0,0,6.420821623,18.62843806,31.40141198,86.79669361,10.39900058,0,0,28.66833739,122.7058618,19.75852033,0,0,28.66833739,0,0,0,194.4190764,38.8201783,0,6.420821623,0,0,0,421.92,139.8978047,40.85221916,0,12.96557803,0,0,0,0,0,0,74.61281184,65.98923597,0,0,82.31152896,29.9043419,0,-4.300107466,-20.50290756,-1.485425137,-4.666666667,1,47,20,23,1,3,4,0,0,0,21,15,24,9,1,3,4,4,-9.5145,150.5648,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.29787234,FALSE
Avitinib,14.9555751,14.9555751,0.252603735,-0.319841664,0.330074101,14,487.539,461.331,487.2132013,184,0,1.111111111,1.944444444,2.722222222,3.340763133,1.372945368,1412.697411,25.07033885,19.79235203,19.79235203,17.47869818,11.54852142,11.54852142,8.497102528,8.497102528,5.930012747,5.930012747,4.006536887,4.006536887,-4.44,204398712.6,23.30881472,10.04468662,5.129549417,207.1598096,30.15423814,17.2139099,0,17.73550735,0,0,4.794537184,4.390415048,9.967957042,0,12.64530275,49.5218945,49.81700881,11.07361049,13.92181519,39.95107927,0,19.85184529,0,0,48.76018455,73.19995675,11.62950017,20.27034989,27.40091315,11.62950017,0,58.98572263,4.794537184,5.817220841,0,67.38273591,0,11.03340144,98.41,0,9.184952232,0,17.67273985,39.72506043,26.17902562,12.14238718,36.52867891,12.13273414,49.0119399,4.736862954,20.99768283,0,27.96569569,6.456498878,2.23368725,0.416490201,13.77633086,2.931521194,6.822166684,2.066593083,0.192307692,36,3,9,0,1,1,2,2,4,7,3,10,7,0,1,1,5,4.5092,138.6241,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,4,3,0,0,1,0,1,0,0,0,0,0,1,0,4,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,FALSE
Crocin II,12.74559599,12.74559599,0.094352377,-1.834755189,0.044452644,37.63157895,814.831,760.399,814.3259295,320,0,0.473684211,0.824561404,1.228070175,3.183480227,1.484515596,1545.703308,42.5593845,31.74041295,31.74041295,26.90610008,17.97286661,17.97286661,13.67706602,13.67706602,9.120524311,9.120524311,5.458305656,5.458305656,-3.48,9.10564E+11,47.8924026,22.61079561,13.26619697,328.1382814,84.59297907,73.24759665,6.290026729,12.58005346,0,11.93861058,0,9.589074368,0,0,71.90641013,27.6949488,11.14620906,19.82064589,94.18205343,11.93861058,0,0,0,119.8126256,19.82064589,83.05261919,0,0,0,0,0,180.0487347,38.01025209,0,27.6949488,83.05261919,0,0,312.05,123.8769333,65.76087571,0,11.14620906,0,11.14620906,25.99951461,55.53189805,6.9237372,0,28.42117772,31.58807707,0,25.15896619,109.605304,1.862796773,-1.75011565,0,-7.554158259,4.589129886,0,0.578947368,57,11,19,0,3,3,0,0,0,19,11,19,15,0,3,3,3,-3.0494,194.7998,0,11,11,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.63157895,FALSE
Methyl gallate,10.90309335,10.90309335,0.03212963,-0.703148148,0.438871148,9.615384615,184.147,176.083,184.0371734,70,0,1.230769231,1.692307692,2.076923077,2.116966711,3.203722825,321.3827773,10.00807169,6.812837906,6.812837906,6.05774931,3.392017513,3.392017513,2.354686179,2.354686179,1.490779324,1.490779324,0.839891261,0.839891261,-1.91,736.7044153,9.180171326,3.220377951,1.636169663,73.81905593,20.05644514,0,17.2485355,0,0,5.969305288,0,4.794537184,0,0,0,12.13273414,0,12.67324903,24.85098232,5.969305288,0,0,0,0,7.109797541,17.69618563,17.2485355,0,0,17.2485355,0,28.39868501,4.736862954,0,10.35798868,12.13273414,0,0,86.99,23.21784079,4.794537184,0,5.563451492,0,12.13273414,7.109797541,0,0,4.736862954,15.31958218,4.343331444,0,10.90309335,26.9482294,-0.03212963,-2.500876795,2.001759259,0,0,1.169926304,0.125,13,3,5,0,0,0,1,0,1,5,3,5,1,0,0,0,1,0.59,42.7759,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.615384615,FALSE
Nuezhenide,13.10663167,13.10663167,0.048319406,-1.754342089,0.083352545,36.1875,686.66,644.324,686.2421999,268,0,0.875,1.5,2.125,3.080918889,1.392332441,1282.096666,35.12022691,26.17978213,26.17978213,22.89068687,15.20305485,15.20305485,11.39648238,11.39648238,8.286233381,8.286233381,5.473367416,5.473367416,-3.2,24558687256,37.61581205,16.95058816,8.6836114,274.6299873,74.01025984,61.1881249,12.58005346,6.290026729,0,11.93861058,4.794537184,4.794537184,0,0,18.20875424,31.04074445,11.49101058,38.57956807,83.5993342,11.93861058,0,0,5.917906046,87.46719174,26.93044343,53.31322938,5.749511833,0,0,5.749511833,0,147.4230845,49.16793667,5.917906046,18.90801031,47.74977789,0,0,260.59,105.1929135,50.44129353,0,23.50260286,6.420821623,18.93532948,18.20875424,19.05647134,0,0,33.15804068,38.02799876,0,25.70598774,80.82081676,0.922374937,-2.685510375,6.365901509,-14.6132044,0.33543818,1.120196883,0.612903226,48,8,17,0,3,3,1,0,1,17,8,17,12,0,2,2,4,-2.5156,157.0914,0,7,7,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.1875,FALSE
Isorhamnetin 3-O-neohesperidin,13.82713501,13.82713501,0.02567846,-1.892534714,0.146635275,32.45454545,624.548,592.292,624.1690349,240,0,0.840909091,1.568181818,2.25,2.98636571,1.627492093,1556.869918,32.03228676,23.25002121,23.25002121,20.85268206,13.40182708,13.40182708,10.42069726,10.42069726,7.517760469,7.517760469,5.077028893,5.077028893,-3.71,4027387555,31.70662122,12.35203564,5.625145058,247.5849159,74.06021226,59.09206635,29.6532642,17.46832895,0,0,4.794537184,0,0,0,0,25.12283841,17.69618563,19.82064589,74.06021226,10.96924436,0,0,0,68.33552176,13.71667951,40.55516292,40.07125808,14.9025163,0,28.74755917,0,121.0872106,14.21058886,0,6.9237372,39.54352346,0,22.29294327,258.43,96.08221663,50.75328374,0,28.40574272,0,12.13273414,32.23263595,0,0,0,28.10146571,33.75319954,0,13.82713501,92.27131488,-1.153102411,-2.343710846,5.812856188,-16.51688271,0.57046003,1.278730312,0.464285714,44,9,16,0,2,2,2,1,3,16,9,16,7,0,2,2,5,-1.3841,145.0832,0,6,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.45454545,FALSE
UK-371804,12.49918021,12.49918021,0.154115541,-4.126924839,0.383214192,12.12,385.833,369.705,385.0611527,134,0,1.36,2,2.56,2.480212092,2.599248792,974.5910928,18.99119935,13.29213617,14.8645617,11.43719472,6.905484632,8.766612352,5.736459974,7.826062343,3.298004973,5.25277048,2.020668117,3.631436038,-2.43,179289.5717,18.90221437,6.4660095,3.978082076,148.3021902,16.15698348,11.35678803,5.959554569,10.02329115,0,5.969305288,10.20382079,13.40177551,4.722094864,0,17.66730696,25.98020854,16.969292,9.918116789,18.31886156,50.14340211,5.409283606,9.706073385,5.733667477,24.28188313,5.316788604,29.41857809,0,15.77255095,5.817862778,0,11.60093989,35.97608801,14.81782834,5.409283606,13.8474744,29.29142825,5.022633314,10.77244843,158.26,21.53152169,13.21233417,0,21.69553414,10.77244843,0,38.24341918,0,0,15.02286199,27.85041837,27.1181994,6.062208396,14.98401407,20.00289363,3.603677454,-1.544931823,4.040444539,1.342385314,2.462478304,-4.126924839,0.214285714,25,6,9,0,0,0,1,1,2,5,5,11,5,0,0,0,2,1.33507,94.3261,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12.12,FALSE
Dabigatran,13.30144842,13.30144842,0.002999663,-0.993532865,0.216390533,10.77142857,471.521,446.321,471.2018877,178,0,1.114285714,1.857142857,2.514285714,3.17754281,1.557637117,1381.720045,24.94901851,19.10208813,19.10208813,16.8294076,10.91615444,10.91615444,7.923585927,7.923585927,5.587183811,5.587183811,3.686423039,3.686423039,-4.73,82600047.39,23.42891971,10.03967702,5.269584809,201.0924942,20.72408312,17.47788706,0,0,5.907179729,5.969305288,19.8982677,9.967957042,0,0,6.066367068,54.59730362,36.60356122,23.99897946,14.69560176,40.25075529,5.409283606,14.53505669,12.78133946,12.96557803,16.76145474,83.81182174,0,15.95036581,11.50524905,0,0,43.89844529,18.38696557,5.409283606,28.16666629,66.86051426,0,11.03340144,150.22,5.969305288,9.589074368,0,24.70837754,29.00622288,17.02849149,4.899909731,48.66141305,29.81387284,15.28474565,16.24947848,1.945907979,0,34.70168091,19.89918735,8.924336417,-0.162223728,17.63760335,1.363709717,0.4539419,1.902522779,0.16,35,5,10,0,0,0,2,2,4,7,4,10,9,0,0,0,4,2.98597,133.6651,1,0,0,1,0,3,0,0,1,1,2,1,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.77142857,FALSE
Tasimelteon,11.24332142,11.24332142,0.154883236,0.154883236,0.883226598,24.27777778,245.322,226.17,245.1415788,96,0,1.5,2.388888889,3.222222222,3.003983157,1.644245333,469.5614477,12.53516943,10.73878183,10.73878183,8.792024998,6.805460653,6.805460653,5.182296652,5.182296652,3.983496216,3.983496216,2.819846863,2.819846863,-1.51,27134.97985,11.57309902,4.634728219,2.09353529,107.5291494,10.05365156,5.749511833,0,5.907179729,0,0,4.794537184,0,0,0,19.05647134,29.88645228,24.94985114,6.606881965,9.531400138,5.907179729,0,5.316788604,5.917906046,32.10410811,13.15163837,29.32600419,5.749511833,10.05365156,0,5.749511833,0,19.0588181,11.21535881,5.917906046,36.81018948,18.19910121,0,0,38.33,0,4.794537184,0,5.907179729,18.25663372,25.32197183,17.54772461,0,6.9237372,23.51588981,4.736862954,5.598138432,0,11.24332142,2.991542659,2.84033843,2.462429427,6.362492021,2.807991281,3.527079664,0,0.533333333,18,1,3,1,1,2,1,0,1,2,1,3,4,1,0,1,3,2.2512,69.7897,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.27777778,FALSE
CPI1189,11.79534754,11.79534754,0.118634259,-0.256558314,0.82356355,10.82352941,234.299,216.155,234.1368278,92,0,1.058823529,1.588235294,2,2.145149439,2.737462689,416.0407572,13.05204176,10.62589766,10.62589766,7.776675565,5.479615496,5.479615496,4.962660632,4.962660632,1.955988517,1.955988517,1.320960941,1.320960941,-1.84,3595.27046,13.22596306,4.993850304,4.676264593,101.4087665,10.63357721,0,0,5.907179729,5.907179729,0,9.589074368,0,0,0,0,45.03667987,23.71350022,0,9.589074368,17.50174573,0,5.316788604,0,33.23387405,5.316788604,29.82891977,0,10.63357721,5.687386275,0,0,17.35328471,4.794537184,0,38.05293747,24.26546827,0,0,58.2,0,9.589074368,0,17.35328471,11.25083777,0,6.9237372,24.26546827,20.7712116,10.63357721,0,0,0,22.62454691,5.517906707,1.006252533,-0.24651106,6.788333333,0,7.226138248,0,0.384615385,17,2,4,0,0,0,1,0,1,2,2,4,2,0,0,0,1,2.1733,67.9649,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82352941,FALSE
"3,4-Dimethoxycinnamic acid",10.30745457,10.30745457,0.574109977,-0.981680655,0.766379098,10.26666667,208.213,196.117,208.0735589,80,0,1.266666667,1.933333333,2.466666667,2.253682534,2.974964447,382.1743533,11.25914855,8.558709813,8.558709813,7.168233758,4.301193289,4.301193289,2.785991733,2.785991733,1.825957093,1.825957093,1.123995326,1.123995326,-1.97,2278.473042,11.10674597,5.046466055,3.016515733,87.74935697,14.5802533,0,11.49902367,0,0,5.969305288,0,4.794537184,0,0,6.066367068,23.77220574,6.076020107,14.21959508,19.37479049,12.04532539,0,0,0,0,14.21959508,29.8385728,11.49902367,9.473725908,0,11.49902367,0,25.29542777,4.794537184,0,5.563451492,24.27512131,0,6.076020107,55.76,5.969305288,4.794537184,0,0,11.49902367,11.6394716,13.18581765,25.30889875,0,0,14.5802533,10.12875638,0,10.30745457,8.459307996,0.745416667,0.208146915,5.179983938,2.561054422,0,3.076545782,0.181818182,15,1,4,0,0,0,1,0,1,3,1,4,4,0,0,0,1,1.8016,56.2158,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26666667,FALSE
D-Arabinose,8.87662037,8.87662037,0.15337963,-1.413194444,0.30425032,49.2,150.13,140.05,150.0528234,60,0,1,1.6,2.1,1.932160173,2.515835979,102.6059378,7.723614639,5.21361053,5.21361053,4.625897658,2.965421244,2.965421244,2.272429169,2.272429169,1.474040131,1.474040131,0.790638472,0.790638472,-0.2,171.9622554,7.902040816,2.811342155,1.277891156,57.48366857,25.16297253,18.31189916,6.290026729,0,0,0,0,0,0,0,0,0,0,6.606881965,25.16297253,0,0,0,0,24.60192589,6.606881965,0,0,0,0,0,0,51.63491744,4.736862954,0,0,0,0,0,90.15,24.60192589,0,0,6.606881965,0,0,0,0,0,4.736862954,20.42610958,4.468287037,0,0,35.25055556,0,0,0,-5.23212963,-0.15337963,0,1,10,4,5,0,1,1,0,0,0,5,4,5,0,0,1,1,1,-2.5823,29.9792,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2,FALSE
